Timestamp,Accelerometer [X],Accelerometer [Y],Accelerometer [Z],Linear Accel. [X],Linear Accel. [Y],Linear Accel. [Z],Gyroscope [X],Gyroscope [Y],Gyroscope [Z],Euler [X],Euler [Y],Euler [Z],Mag [X],Mag [Y],Mag [Z]
34317,9.63,0.93,1.12,-0.01,-0.33,-0.03,0.04,-0.04,0.02,1.31,79.87,-47.69,-15.38,21.69,12.88
34856,9.63,1.58,0.73,-0.02,0.24,-0.34,0.03,0.03,0.01,1.88,79.81,-50.94,-14.88,21.37,12.19
35398,9.51,1.54,2.17,-0.08,0.19,0.7,0.03,0.02,-0.03,359.75,78.25,-42.56,-15.06,20.69,11.38
35945,9.55,0.93,0.89,-0.02,-0.52,-0.58,0.08,-0.04,0.06,1.75,77.75,-44.81,-15.19,20.87,11.75
36483,9.52,1.6,1.81,-0.06,0.14,0.34,0.03,0.06,-0.05,0.75,77.81,-44.75,-15.56,20.75,11.25
37026,9.56,1.01,1.21,-0.05,-0.35,-0.41,-0.12,-0.09,0,1.5,77.25,-42.75,-15,21.37,11.69
37565,9.58,1.26,0.9,-0.05,-0.11,-0.3,0.04,0.01,0.02,1.81,79.19,-48.81,-14.69,21,10.38
38106,9.57,1.7,1.87,-0.02,0.32,0.34,-0.02,-0.01,-0.03,0.37,77.75,-42.31,-16,20.56,10.38
38651,9.58,0.91,1.38,-0.03,-0.42,0,-0.06,0,0.03,0.69,78.62,-43.63,-15.69,20.56,10.75
39191,9.54,1.9,1.59,-0.04,0.46,0.17,0.06,0.02,0,0.75,78,-45.38,-15.69,20.56,11
39729,9.53,1.04,1.07,-0.08,-0.22,-0.31,-0.17,-0.02,0,359.94,78.87,-42.19,-15.5,20.75,10
40268,9.48,1.89,2.02,-0.13,0.54,0.63,-0.01,-0.01,-0.01,359.75,78.56,-43.94,-15.5,21,10
40809,9.54,0.98,1.06,-0.08,-0.28,-0.26,0,-0.01,0.02,359.69,79.19,-43.38,-15.75,20.75,9.25
41349,9.59,1.68,1.87,-0.01,0.34,0.4,0.01,0.01,-0.02,359.5,78.31,-42.31,-15.5,20.25,10.69
41895,9.55,0.99,1.12,-0.05,-0.33,-0.32,-0.03,-0.02,0.02,359.63,78.44,-42.63,-15.88,21,10.69
42439,9.51,1.81,1.97,-0.08,0.43,0.46,0,0,-0.02,359.69,77.87,-42.44,-16.56,20.25,9.88
42978,9.55,1.15,1.28,-0.05,-0.15,-0.15,0.03,0,0.02,359.31,78.5,-42.13,-16.25,20.56,10.56
43518,9.56,1.88,1.6,-0.02,0.48,0.11,-0.04,-0.02,-0.01,0,77.87,-43.19,-16,19.87,10.06
44059,9.56,0.92,1.37,-0.05,-0.33,-0.04,0,0.02,-0.01,359,78.87,-41.56,-16.37,20.75,10.06
44608,9.57,1.27,1.89,0,-0.13,0.34,-0.03,-0.02,0.03,359.63,77.62,-42.31,-16,20.06,9.88
45147,9.55,1.17,1.39,-0.06,-0.13,-0.02,0.05,0.01,0,359.5,78.62,-42.69,-16.06,20.75,9.88
45685,9.54,1.53,1.41,-0.05,0.15,-0.03,-0.04,-0.04,-0.01,0.25,78.19,-43.38,-15.75,19.75,9.88
46225,9.54,1.01,1.44,-0.08,-0.28,0.08,0.08,0.01,0,359.5,78.94,-43.69,-16.06,21.19,10.88
46763,9.57,1.82,1.44,-0.02,0.39,0,-0.01,-0.02,0.01,0.37,78.06,-44.75,-15.75,20,9.56
47301,9.64,0.91,1.41,0.02,-0.35,0,-0.02,-0.01,-0.02,359.38,78.81,-41.88,-16.75,21.06,11.19
47849,9.49,1.17,1.71,-0.1,-0.21,0.26,-0.04,0.01,0.03,359.69,78.12,-43.75,-16.06,20.56,9.75
48389,9.53,1.48,1.31,0,0.12,-0.23,-0.09,-0.02,-0.04,359.75,78.69,-42.31,-16.87,19.87,9.56
48929,9.52,1.43,1.7,-0.07,0.04,0.25,-0.03,-0.04,0.02,0.25,78.12,-43.75,-16.56,20.5,10.19
49469,9.57,1.55,1.13,-0.07,0.25,-0.08,0.02,0.03,-0.02,0.81,79.5,-46.75,-15.75,19.37,11.69
50010,9.56,1.12,0.97,-0.02,-0.3,-0.47,-0.1,-0.04,0.02,0.81,77.94,-44.5,-15.75,19.25,10.5
50555,9.62,1.81,0.97,-0.01,0.29,-0.29,-0.02,-0.02,0.01,2.5,78.5,-49.94,-16.06,19.56,10.5
51096,9.56,0.92,1.74,-0.09,-0.25,0.5,-0.04,-0.02,0,359.75,79.94,-43.5,-15.5,20.25,11.75
51636,9.71,1.38,0.33,0.01,0.13,-0.48,-0.03,0.04,-0.01,1.63,81.25,-56.94,-16.19,18.25,11.5
52172,9.74,1.61,2.22,0.09,0.28,1.08,0.02,0.13,-0.08,359.25,79.56,-49.06,-16.56,19.06,10.75
52714,9.64,1.13,0.99,0.02,-0.3,-0.27,0.03,-0.07,0.04,1.75,78.69,-48.75,-15.88,18.75,10.38
53258,9.66,1.31,0.39,-0.01,0.06,-0.55,-0.29,-0.04,-0.02,3.25,80.75,-52.88,-15.5,18.25,12.69
53798,9.57,0.99,1.31,-0.1,-0.24,0.3,0.09,0.02,-0.01,2.31,80.56,-50.94,-15.19,19,10.75
54339,9.59,1.56,1.6,-0.03,0.17,0.35,0.09,0.01,0.02,2.94,79,-48,-16.25,17.5,10.19
54880,9.52,1.23,1.21,-0.08,0,0.02,0.03,0.01,0,0.75,79.31,-47,-16,18.19,10
55416,9.53,1.47,1.82,-0.07,0.11,0.47,-0.03,-0.01,0.01,0.31,78.69,-45.25,-15.56,17.87,9.25
55957,9.66,1.31,0.87,0.01,0,-0.32,0,0.02,0.03,0.63,79.56,-47.44,-16.19,18.69,10
56520,9.52,1.76,1.81,-0.06,0.37,0.28,-0.06,-0.03,-0.01,0.19,77.81,-42.25,-17.19,19.06,8.56
57063,9.62,1.15,1.11,-0.04,-0.13,-0.16,0.03,0,0.02,0.37,79.19,-45.5,-16.56,17.5,9.19
57602,9.56,1.36,1.25,-0.05,0.04,-0.11,0,-0.05,0,0.56,78.81,-44.06,-15.75,18.19,9.19
58139,9.59,1.08,1.18,-0.05,-0.19,-0.06,-0.07,0,-0.01,0.63,79.44,-45.56,-16.56,18.19,8.5
58682,9.54,1.57,1.6,-0.07,0.19,0.3,0.04,0,-0.01,0.69,78.81,-46.69,-15.75,18.06,9.5
59228,9.59,0.87,1.09,-0.04,-0.38,-0.21,-0.11,0,0.01,359.75,79.31,-44,-15.75,18.06,9.88
59768,9.56,1.71,1.75,-0.04,0.34,0.32,0.03,0.02,-0.01,359.75,78.31,-44,-16.56,17.75,8.38
60309,9.6,1.25,1.29,-0.01,-0.07,-0.12,0.03,-0.01,0.01,359.75,78.56,-43.13,-17,18.06,8.75
60850,9.53,1.35,1.72,-0.06,0.02,0.25,0.01,0,0.01,359.25,78.31,-42.19,-16.37,18.87,8.75
61392,9.56,1.13,1.42,-0.04,-0.14,-0.05,-0.02,-0.02,0,359.06,78.5,-40.63,-17.06,18.87,8.75
61931,9.57,1.31,1.36,-0.03,0.01,-0.06,0.04,-0.01,0.01,359.44,78.62,-42.25,-17.25,18.5,8.5
62480,9.54,1.28,1.44,-0.06,0,0.02,-0.02,-0.02,0.02,359.31,78.69,-42.06,-17.69,18.87,9.06
63022,9.54,1.48,1.44,-0.07,0.19,0.06,-0.05,0.01,-0.01,359.38,78.87,-42.88,-16.37,24.75,12.69
63559,9.55,1.41,1.51,-0.05,0.13,0.06,-0.02,-0.01,0,359.13,78.56,-41.56,-17,24.37,12.38
64100,9.58,1.27,1.43,-0.04,0,0.07,-0.02,-0.01,-0.03,359.5,79,-43,-15.75,24.37,12.38
64642,9.57,1.29,1.87,-0.08,-0.04,0.54,-0.09,0.01,0.02,359.75,78.56,-44.31,-14.88,23.87,13.06
