Timestamp,Accelerometer [X],Accelerometer [Y],Accelerometer [Z],Linear Accel. [X],Linear Accel. [Y],Linear Accel. [Z],Gyroscope [X],Gyroscope [Y],Gyroscope [Z],Euler [X],Euler [Y],Euler [Z],Mag [X],Mag [Y],Mag [Z]
40809,9.63,0.62,0.74,-0.06,-0.33,-0.3,-0.03,-0.03,0.02,9.94,81.62,-42.31,-19.56,9.75,-17.06
41349,9.62,1.27,1.58,-0.05,0.27,0.42,0.03,0.01,-0.03,9.81,81,-41,-20.19,9.75,-16.5
41895,9.63,0.56,0.84,-0.04,-0.44,-0.3,0.01,-0.02,0.02,10.13,81,-41.31,-20.19,8.75,-16.5
42439,9.58,1.36,1.61,-0.09,0.32,0.41,0,0.01,-0.03,10.25,80.62,-41,-19.75,10.19,-16.37
42978,9.63,0.7,0.89,-0.04,-0.29,-0.26,0.01,0,0.01,10.13,81,-40.69,-20.87,10.19,-15.69
43518,9.61,1.53,1.23,-0.01,0.41,0.03,-0.03,-0.02,-0.02,10.75,80.5,-41.63,-19.87,10.06,-17.37
44059,9.64,0.57,1.11,-0.04,-0.37,0,-0.01,0.01,-0.01,10.13,81.44,-40.25,-18.87,10.06,-17
44608,9.56,1.06,1.61,-0.1,-0.03,0.37,0.01,0,0.02,10.88,80.25,-41.31,-20.56,8,-17.37
45147,9.63,0.98,0.94,-0.07,-0.05,-0.07,0.02,0,0,10.88,81.25,-41.63,-19.56,9.38,-17.69
45685,9.61,1.24,1.12,-0.08,0.09,-0.05,-0.06,-0.04,-0.02,11.75,80.75,-42.31,-19.06,9.38,-17
46225,9.68,0.62,1.04,-0.01,-0.35,-0.01,0.1,0.01,0.01,11.38,81.5,-42.81,-19.5,9.25,-16.5
46763,9.65,1.46,1.14,-0.02,0.37,0.01,-0.04,-0.02,0,12.13,80.75,-43.81,-19.87,9.88,-16.75
47301,9.66,0.73,1.13,-0.03,-0.2,0.02,-0.03,0,-0.02,11.25,81.5,-40.25,-18.87,9.56,-16.19
47849,9.62,1.2,1.45,-0.05,0.03,0.27,-0.05,0,0.03,11.88,80.75,-42.88,-20.69,9.25,-15.69
48389,9.63,1.09,0.94,-0.06,0.14,-0.17,-0.02,-0.03,-0.05,11.94,81.37,-40.38,-20,9.69,-16.37
48929,9.63,0.96,1.53,-0.05,-0.13,0.3,-0.03,-0.05,0.02,12.81,80.69,-42.88,-19.75,9.56,-16.19
49469,9.61,1.15,0.77,-0.1,0.19,-0.09,0,0.04,-0.04,13.5,82.37,-47.94,-19.69,9.56,-15.25
50010,9.67,0.92,0.81,0,-0.2,-0.34,-0.11,-0.05,0.04,13.81,80.5,-44,-20,9.5,-15.88
50555,9.7,1.77,0.77,0.01,0.61,-0.19,-0.01,-0.04,0,15.69,81.12,-50.56,-20,7.69,-14.19
51096,9.69,0.59,1.41,-0.03,-0.29,0.51,0,-0.02,-0.01,13.19,82.56,-44.31,-19.19,9.5,-15
51636,9.68,0.94,-0.05,-0.06,0,-0.52,-0.01,0.03,0,15.25,83.75,-5.5,-19.69,9.56,-13.19
52172,9.6,0.99,1.72,-0.11,-0.01,0.92,0.32,0.11,-0.05,13.13,82.37,-51.5,-19.37,9.56,-13.75
52714,9.61,0.85,0.75,-0.07,-0.3,-0.24,0.02,-0.06,0.04,15.94,80.94,-49.44,-20.06,9.19,-13.38
53258,9.69,1.01,0.04,-0.04,0.05,-0.62,-0.29,-0.04,-0.01,17,83.12,-5.56,-18.75,9.25,-11.69
53798,9.65,0.69,0.96,-0.07,-0.24,0.27,0.07,0.02,0,16.62,83.12,-53.69,-20.75,7.69,-11.38
54339,9.71,1.23,1.35,0.01,0.17,0.42,0.07,0.03,0.01,17.31,81.62,-48.75,-20.06,9.06,-11.88
54880,9.63,0.8,0.92,-0.07,-0.19,0,0.05,0,-0.01,15.19,81.94,-47.25,-20.37,9,-11.25
55416,9.66,1.25,1.52,-0.03,0.2,0.47,0.02,0,0,14.88,81.25,-44.81,-20.75,9.38,-11.69
55957,9.62,1.1,0.5,-0.08,0.1,-0.39,-0.01,0.01,0.01,15.38,82.12,-47.88,-19.75,9.69,-12.25
56520,9.63,1.31,1.58,-0.03,0.24,0.36,-0.05,-0.03,-0.01,15.06,80.5,-41.06,-20.06,8,-11.69
57063,9.69,0.82,0.88,-0.01,-0.15,-0.06,0.01,0.01,0.02,15.5,81.94,-45.88,-20.25,9.38,-10.69
57602,9.7,1.18,1.13,0,0.18,0.07,-0.02,-0.04,0,15.88,81.37,-43.19,-20.69,9,-11
58139,9.62,0.52,0.76,-0.08,-0.43,-0.18,-0.07,-0.02,-0.02,16.06,82.06,-45.31,-19.5,9.38,-11.56
58682,9.65,1.22,1.45,-0.03,0.15,0.46,0.03,0.02,0,16.25,81.44,-47.06,-20,9.5,-11.88
59228,9.6,0.59,0.71,-0.1,-0.35,-0.29,-0.06,0,0.01,15.44,81.81,-43.38,-19.25,9.19,-12.25
59768,9.65,1.3,1.37,-0.03,0.25,0.25,0.07,0.01,-0.01,15.63,80.94,-43.19,-20.87,8.06,-12.19
60309,9.58,0.99,1.03,-0.1,-0.01,-0.08,-0.03,0,0.01,15.75,81.12,-42,-19.87,9.19,-12.5
60850,9.62,1.11,1.43,-0.05,0.1,0.26,0,0,0.01,15.38,80.87,-40.75,-19.87,9.19,-12.5
61392,9.64,0.86,1.23,-0.03,-0.08,0.04,-0.02,-0.03,0,15.31,81.06,-38.69,-20.19,8.75,-11.75
61931,9.61,1.03,1.13,-0.08,0.06,0.01,-0.01,0,0,15.88,81.25,-40.88,-20.56,9.19,-12.5
62480,9.62,1.06,1.19,-0.07,0.1,0.07,-0.02,-0.02,0.01,16,81.31,-40.81,-20.19,10.5,-27.87
63022,9.57,1.13,1.06,-0.12,0.16,0,-0.06,0.01,-0.02,16.19,81.56,-42.13,-20.5,11.5,-28.69
63559,9.64,1.1,1.08,-0.04,0.13,-0.06,0.04,-0.01,-0.01,16.12,81.19,-40,-20.87,11.38,-27.75
64100,9.62,0.9,0.99,-0.05,-0.08,0,-0.06,-0.01,-0.03,16.62,81.62,-41.88,-19.75,11.69,-26.69
64642,9.68,1,1.51,0,-0.03,0.45,-0.04,0.01,0.02,16.94,81.31,-44.44,-20.5,11.25,-27.5
65182,9.65,1.11,0.67,-0.05,0.19,-0.24,0.02,-0.02,-0.01,19.06,81.94,-45.5,-18.25,10.75,-26.5
65723,9.69,0.74,1.42,0,-0.22,0.4,-0.04,0.03,0,16.69,81.69,-43.19,-20.56,9.75,-24.56
66265,9.61,1.15,0.75,-0.08,0.13,-0.26,-0.04,0.01,0.01,17.62,81.5,-45.31,-19.25,10.75,-25.75
66803,9.61,0.78,1.33,-0.07,-0.15,0.19,-0.04,-0.02,-0.02,16.75,81.31,-39.44,-20,11,-25.06
67340,9.55,0.92,0.97,-0.14,-0.09,-0.05,0.01,-0.01,0.01,17.75,81.44,-44.69,-20.37,11,-24.37
67881,9.63,1.03,0.89,-0.06,0.04,-0.11,-0.04,0,0.01,17.87,81.69,-44.31,-20.25,9.56,-24.75
68427,9.64,1.06,1.38,-0.05,0.07,0.34,-0.05,-0.01,-0.01,17.81,81.5,-43.44,-21.06,9.25,-24
68966,9.77,0.91,0.93,0.06,-0.08,-0.03,-0.19,0.02,0.04,19.5,81.81,-45.69,-21.37,10.25,-24.37
69507,9.51,0.78,1.43,-0.18,-0.16,0.38,-0.09,0,-0.01,17.81,81.69,-42.13,-19.87,11.19,-23.75
70048,9.64,1.25,0.9,-0.06,0.19,-0.17,0.05,-0.02,0.02,18.62,81.56,-45.13,-19.25,10.5,-23.56
70586,9.62,0.92,1.39,-0.07,0.01,0.31,0.06,0.01,-0.03,17.37,81.69,-40,-20.37,10.75,-23.75
71131,9.6,0.89,1.01,-0.02,-0.08,-0.26,0.01,-0.04,0.01,18.69,81,-41.94,-21.06,10.5,-23.19
71671,9.64,1.02,1.13,-0.05,0.02,0.08,-0.06,0.03,-0.02,18.56,81.44,-43.56,-20.06,9.5,-23.56
72209,9.68,1.2,0.83,0,0.13,-0.32,-0.06,-0.05,0.01,19.31,80.75,-42.75,-20.5,10.88,-24
72751,9.61,0.82,1.32,-0.07,-0.16,0.22,0,0.01,-0.02,18.81,81.31,-41.75,-21.87,11,-22.75
73293,9.68,1.13,1.09,0,0.04,-0.03,-0.03,-0.02,0.02,19.62,80.81,-44,-20.06,10.75,-24.19
73831,9.67,1.02,1.13,-0.02,0.03,0.03,0.02,-0.01,-0.03,19,81.25,-41.88,-19.75,10.75,-24.19
74375,9.62,0.76,1.23,-0.09,-0.24,0.15,-0.02,-0.02,0.01,19.25,81.12,-41.88,-20.75,9.69,-23.75
74915,9.68,1.09,0.95,0,0.05,-0.09,-0.17,0,0,21.12,81.31,-44.56,-20.75,10.38,-24.06
75456,9.66,0.71,1.55,-0.03,-0.29,0.47,-0.01,0.01,0,19.62,81.31,-42.81,-20.06,10.25,-23.19
75994,9.61,1.16,0.72,-0.1,0.12,-0.31,-0.02,-0.04,-0.01,22.06,81.37,-45.69,-19.75,10.56,-22.75
76534,9.58,1.16,1.26,-0.1,0.1,0.24,0.02,0.04,-0.02,20.06,81.37,-46.25,-21.5,10.5,-23.06
77080,9.65,1.13,0.93,-0.02,0.04,-0.22,-0.29,-0.08,-0.01,21.56,80.69,-43.19,-20.5,9.25,-21.87
77621,9.64,0.99,0.97,-0.04,-0.04,0.02,0.05,-0.01,0.04,22.94,81.94,-50.19,-20.56,8.38,-19.69
78162,9.67,0.99,0.46,-0.07,0.12,-0.22,0.03,0.01,-0.04,22.31,83.5,-5.06,-20.25,9.19,-19.75
78703,9.77,0.79,1.25,0.05,-0.18,0.38,0.37,0.08,0,21.31,82.25,-48.31,-20.87,10.19,-19.56
79241,9.7,1.59,0.48,0.02,0.54,-0.71,-0.12,-0.1,-0.01,23.19,80.56,-41.06,-21.56,9.75,-19.37
79782,9.67,0.35,0.51,-0.05,-0.5,-0.36,0.06,-0.01,0.04,21.87,82.87,-44,-20,10.56,-18.06
80330,9.86,1.46,1.74,0.15,0.54,0.78,-0.24,0.21,-0.04,20.31,82.06,-43.38,-21.69,8.56,-17
80872,9.59,0.78,0.87,-0.06,-0.2,-0.48,-0.14,-0.16,0,21.69,80.12,-36,-18.69,10,-18
81410,9.67,0.86,0.78,-0.04,-0.1,-0.1,-0.09,0.02,-0.03,23.69,82.25,-47.56,-20.25,9.75,-16.87
81951,9.68,1.48,1.26,-0.02,0.14,0.21,-0.14,-0.01,-0.01,23.19,81.06,-48.31,-19.06,8.19,-17.06
82491,9.67,0.29,0.94,-0.04,-0.68,0.07,-0.1,-0.01,-0.02,24.56,82.25,-48.44,-19.87,8.5,-15.88
83032,9.64,1.24,0.9,-0.09,0.18,0.12,0.16,0.01,0.03,25.44,81.81,-53.13,-19,8.25,-15.69
83573,9.65,1.12,1.09,-0.05,0.09,0.2,-0.29,-0.02,-0.01,25.31,82,-49.06,-19.69,7.06,-15.5
84116,9.71,0.8,0.5,-0.01,-0.17,-0.22,0.01,-0.03,0.04,25.75,82.81,-53.56,-19.25,8.75,-14.38
84653,9.7,1.13,0.75,-0.03,0.22,0.03,-0.07,0.03,-0.05,25.94,83.12,-5.31,-19.75,8.25,-15.75
85191,9.63,1.01,1.61,-0.05,-0.08,0.58,0.25,-0.02,0.05,25.31,81.12,-46.75,-18.25,7.5,-15.69
85734,9.63,1.12,0.6,-0.07,0.08,-0.28,0,-0.03,0.01,27.37,81.94,-49.31,-20.06,8.38,-16.06
86279,9.62,0.45,0.69,-0.08,-0.35,-0.13,-0.03,0.01,0,26.75,83.19,-5.13,-19.75,6.56,-14.75
86818,9.63,1.24,1.02,-0.08,0.23,0.2,0.08,0.06,-0.01,27.25,82.31,-50.75,-20.06,7.56,-14.56
87361,9.61,1,0.94,-0.21,-0.27,-0.24,-0.05,-0.08,0.03,25.37,81.44,-47.06,-19.37,8.06,-14.06
87902,9.67,1,0.82,-0.03,-0.03,-0.05,0.03,0,-0.01,27.06,82,-49.88,-20.5,8,-14.25
88438,9.63,1.15,1.49,-0.05,0.06,0.49,-0.07,0.01,-0.01,25.56,81.25,-47.19,-19.06,7.56,-15.19
88983,9.57,1.1,0.96,-0.12,0.02,0,-0.03,0,-0.01,25.75,81.5,-48.31,-20.06,7.56,-14.5
89530,9.67,1.19,0.92,-0.02,0.12,-0.02,0.05,-0.03,0,25.81,81.56,-48.25,-19.75,6.56,-13.88
90070,9.63,1.09,1.21,-0.06,0.02,0.24,-0.01,0.01,0.01,25.62,81.5,-47.63,-20.87,8.38,-14.19
90610,9.67,1.12,1.25,-0.02,0.06,0.23,0.04,0.01,0,25.31,81.31,-46.19,-20.06,8.69,-14.38
91153,9.67,0.92,1.1,-0.07,-0.13,0.06,0.02,0.01,0,25.06,81.37,-44.5,-20.5,8,-15.06
91692,9.68,1,0.94,0,-0.06,-0.14,0.04,-0.02,0.01,25.37,81,-44.13,-20.5,8.38,-14.75
92235,9.61,1.01,1.38,-0.07,0,0.29,-0.02,0.02,-0.01,24.69,81.12,-42.5,-19.75,7.25,-14.88
92776,9.65,0.91,1.11,-0.02,-0.1,-0.04,0.02,0,-0.01,24.75,80.87,-41.5,-19.37,8.38,-15.88
93318,9.6,1.24,1.33,-0.07,0.19,0.15,0.04,0,0,24.69,80.75,-41.31,-19.75,8,-15.5
93855,9.61,1.12,1.2,-0.07,0.15,0,-0.01,-0.03,0,24.19,80.94,-38.5,-18.37,8.69,-15.06
94395,9.6,1.07,1.15,-0.08,0.1,0,0.04,0,0,24.37,81.12,-39.81,-20.5,8.69,-14.88
94941,9.53,1.16,1.45,-0.14,0.18,0.24,-0.01,-0.01,0,24.62,80.81,-39.13,-20.19,8,-15.5
95483,9.69,0.75,1.11,0,-0.22,-0.04,0.06,0.01,0,24.75,81.06,-40.13,-20.19,6.19,-14.75
96024,9.67,0.71,1.14,0,-0.27,-0.03,0.01,-0.02,0,25,80.87,-40.19,-19.5,8.69,-14.75
96565,9.65,1,1.2,-0.03,-0.02,0.04,0.02,-0.01,0.01,25.37,80.94,-41.69,-20.06,9.06,-15
97105,9.56,1.02,1.13,-0.12,0.02,-0.01,-0.08,-0.02,0,25.25,81,-41,-19.37,8.69,-15
97645,9.64,0.97,1.41,-0.04,0.01,0.26,-0.05,-0.01,0.01,24.94,81.19,-39.69,-19.5,8.38,-14.25
98191,9.7,0.49,1.25,-0.13,-0.4,0.2,-0.08,0.02,0,24,81.44,-38.31,-21.25,7.25,-14.06
98729,9.6,1.25,1.52,-0.07,0.27,0.28,-0.08,-0.01,0.02,24.25,80.69,-37.94,-20,8.75,-16.69
99268,9.67,1.27,1.11,0,0.21,-0.06,0.05,0,0.02,25.06,80.69,-41.75,-20.69,8.5,-15.25
99808,9.53,1.1,1.13,-0.11,0.09,-0.02,0.05,0.02,0.01,24.81,80.94,-40.56,-20.25,9.19,-15
100346,9.63,0.66,1.44,-0.03,-0.25,0.13,-0.01,-0.03,-0.03,24.31,80.56,-35.13,-20.25,8.75,-15.25
100888,9.62,0.95,1.28,-0.03,-0.13,0.04,-0.01,-0.01,0.01,25.81,80.25,-41.13,-20,8.5,-15
101431,9.61,0.95,1.07,-0.05,-0.11,-0.16,-0.01,0,0,25.81,80.31,-40.88,-20.25,7.38,-15.19
101975,9.64,1.11,1.03,-0.02,0.01,-0.22,-0.01,-0.02,0.01,26.12,80.19,-41.13,-20,8.5,-14.56
102513,9.62,0.97,1.52,-0.04,-0.07,0.22,-0.02,-0.01,0,25.75,80.19,-39,-20.69,9.19,-15.56
103057,9.65,1.1,1.1,-0.01,0.05,-0.13,0,-0.01,0.01,26.12,80.37,-40.31,-20,8.75,-16.19
103606,9.61,1.01,1.15,-0.06,0.03,-0.04,-0.01,-0.02,-0.02,26,80.81,-39,-19.87,8.75,-14.5
104161,9.64,0.92,1.48,-0.03,-0.08,0.26,0.05,0,0.02,26.06,80.69,-39.81,-20,7.38,-14
104701,9.63,1.15,1.22,-0.04,0.16,0.01,-0.01,-0.02,-0.01,26.44,80.75,-39.38,-20,8.88,-15
105242,9.61,0.89,1.14,-0.06,-0.08,-0.04,0.02,0.01,0.01,26.25,80.94,-39.56,-19.25,9.25,-15.38
105782,9.54,1.29,1.44,-0.12,0.25,0.2,-0.02,-0.02,-0.02,26.69,80.5,-40.13,-20.19,8.19,-14.69
106324,9.59,0.76,1.28,-0.09,-0.19,0.09,0,0.02,0.02,26.19,81,-38.75,-20,8.5,-13.69
106867,9.61,1.18,1.23,-0.05,0.17,-0.06,-0.02,-0.03,0.01,26.81,80.31,-38.19,-21.06,8.5,-14.69
107411,9.6,0.89,1.47,-0.07,-0.05,0.21,-0.01,0,-0.02,26.37,80.75,-37.13,-20.69,7.38,-14.25
107953,9.59,0.84,1.45,-0.07,-0.15,0.16,0,-0.01,0.01,26.75,80.37,-37.69,-20,8.75,-14.88
108491,9.61,0.95,1.32,-0.06,-0.01,0.06,0,-0.01,-0.01,26.81,80.62,-37.69,-21,8.5,-15.56
109032,9.58,1.03,1.43,-0.08,0.01,0.15,0,-0.03,0.02,27.06,80.44,-37.75,-19.87,9.19,-15.25
109574,9.63,0.97,1.28,-0.04,0,0.05,0.03,0.02,0,27.06,80.75,-38.44,-19.06,9.06,-14.25
110119,9.54,0.99,1.47,-0.12,0,0.14,-0.03,-0.04,-0.01,27.37,80.25,-36.94,-20.19,8,-14.88
110660,9.64,0.91,1.34,-0.04,-0.07,0.18,0.02,0.02,-0.01,27.62,81.06,-40.44,-19.37,9.06,-14.69
111201,9.64,1.03,1.19,-0.02,0.03,-0.07,-0.05,-0.03,0,28,80.44,-38.44,-19.37,8.69,-14.06
111739,9.59,1.1,1.53,-0.07,0.08,0.27,-0.02,-0.01,0.01,28.06,80.44,-38.94,-19.37,9.06,-15.06
112281,9.59,0.62,1.08,-0.08,-0.37,-0.15,0.03,0.02,-0.01,27.81,80.69,-38.81,-19.69,9.38,-15.06
112824,9.61,1.02,1.54,-0.05,0,0.25,-0.01,-0.01,0.02,27.69,80.12,-37.38,-20,9.38,-14.38
113369,9.61,0.67,1.38,-0.05,-0.29,0.06,-0.06,-0.01,-0.01,27.69,80.37,-36.13,-20.37,7.88,-14.06
113910,9.72,1.37,1.27,0.05,0.35,-0.03,0.01,0,0,28.19,80.25,-38.13,-19.87,8.56,-14.38
114450,9.61,0.44,1.34,-0.06,-0.5,0.05,-0.05,-0.01,0,27.94,80.56,-35.88,-19.87,9,-14.38
114993,9.56,1.09,1.36,-0.1,0.11,0.08,0,-0.01,0.06,28.19,80.5,-37.44,-19.87,9.69,-15.19
115535,9.65,0.69,1.64,-0.01,-0.13,0.25,-0.03,-0.02,-0.02,27.37,80.5,-31.19,-19.69,9.38,-15.88
116077,9.73,1.42,1.12,0.04,0.63,-0.16,0.08,-0.04,-0.06,27.44,81.12,-31.62,-20,8.5,-14.69
116617,9.52,1.09,1.6,-0.1,0.38,0.25,-0.03,0.01,-0.06,27.19,81.06,-28.56,-20.75,8.88,-13.75
117157,9.64,1.33,1.41,-0.04,0.54,0.1,-0.09,-0.02,-0.02,27.69,81,-31.25,-20.75,9.56,-15.06
117698,9.57,0.42,1.45,-0.12,-0.39,0.11,-0.08,0,-0.02,27.25,81.25,-28.44,-19,9.88,-14.38
118240,9.55,0.95,1.49,-0.13,0.2,0.21,0.03,0,0.01,26.75,81.31,-30.37,-20,9.69,-14.56
118778,9.61,1.45,1.37,-0.06,0.57,0.09,0.01,-0.04,-0.02,28.31,80.94,-34.63,-20,9.06,-14.25
119323,9.59,0.38,1.06,-0.1,-0.44,-0.14,-0.01,0,-0.03,27.87,81.37,-34.06,-21.19,7.88,-14
119863,9.55,1,1.63,-0.1,0.05,0.39,0.02,0.01,0.03,28.25,80.56,-36.81,-20.25,8.56,-14
120402,9.61,1.31,1.26,-0.06,0.39,-0.02,0.05,-0.02,-0.04,28.75,80.62,-35.31,-19.37,8.19,-14
