Timestamp,Accelerometer [X],Accelerometer [Y],Accelerometer [Z],Linear Accel. [X],Linear Accel. [Y],Linear Accel. [Z],Gyroscope [X],Gyroscope [Y],Gyroscope [Z],Euler [X],Euler [Y],Euler [Z],Mag [X],Mag [Y],Mag [Z]
9963,9.6,1.03,1.28,-0.09,-0.02,0.22,0.06,0.03,0.02,1.25,81.19,-44.81,-19.56,10.88,-24.69
10502,9.66,0.99,0.98,-0.02,0.04,-0.21,-0.09,-0.06,-0.03,1.37,81,-38.44,-21.25,12.5,-24.37
11040,9.67,0.81,1.3,-0.02,-0.2,0.29,0.09,0.02,0.01,1.88,81.56,-45.19,-20,11.88,-23.69
11579,9.62,1.15,0.98,-0.06,0.16,-0.08,0.01,-0.01,-0.01,2,81.44,-43,-20,11.88,-24.25
12125,9.6,0.88,1.27,-0.09,-0.09,0.19,0,-0.02,-0.02,2.06,81.44,-42.13,-20,10.06,-23.25
12667,9.57,0.9,0.91,-0.12,-0.14,-0.07,0.06,0,0.02,3.38,81.56,-46.81,-19.69,11.25,-22.87
13206,9.68,1.1,1.26,-0.01,0.09,0.21,-0.03,0,-0.03,2.31,81.44,-44.19,-20.37,11.69,-23.75
13747,9.65,0.65,1.26,-0.04,-0.34,0.2,-0.04,-0.01,0.02,2.19,81.44,-43.06,-20,12.69,-23.37
14287,9.63,1.35,0.7,-0.05,0.29,-0.31,-0.02,-0.02,-0.01,3.94,81.37,-46.13,-20.06,10.75,-22.75
14834,9.64,0.35,1.4,-0.05,-0.5,0.25,0.09,0,0,1.25,81.56,-36.88,-19.87,10.5,-22.56
15373,9.64,1.4,1.14,-0.03,0.28,0.03,0.12,-0.01,0.02,3.5,80.69,-45.25,-19.5,11.56,-22.87
15913,9.62,0.52,1.19,-0.11,-0.41,0.17,-0.05,0.02,0,1.88,81.5,-39.75,-19.75,9.88,-22.87
16452,9.59,1.43,1.21,-0.07,0.32,0.05,0,-0.02,0.01,3.25,80.56,-43.56,-19,10.5,-23.56
16992,9.64,0.74,1.14,-0.04,-0.2,0.02,0.02,-0.01,-0.01,2.44,81.31,-40.19,-18.25,11.25,-22.5
17532,9.62,1.02,1.26,-0.05,-0.04,0.17,0.09,0.03,0.03,3.44,81,-44.5,-19,11.56,-23.19
18078,9.58,0.99,0.96,-0.1,0.04,-0.2,0.02,-0.03,-0.02,3.25,81.19,-40.5,-19.87,10.06,-22.75
18616,9.59,0.78,1.44,-0.09,-0.2,0.29,0,0,0.01,2.94,81.06,-40.75,-19.56,11.56,-23.5
19156,9.64,1.16,1.19,-0.03,0.16,0.03,-0.01,-0.01,0.02,3.38,80.94,-41,-19.56,10.38,-23.5
19700,9.64,0.88,1.23,-0.04,-0.07,0.06,-0.03,-0.01,-0.03,3.19,81.06,-39.5,-20.25,11.88,-23.19
20240,9.62,0.85,1.03,-0.06,-0.18,-0.06,-0.03,0.01,0.04,4.06,81.12,-43.25,-19.56,11.69,-23.25
20788,9.58,2.24,1.32,-0.1,1.29,0.14,0.01,-0.02,0.01,3.63,81.12,-39,-18.75,9.75,-22.37
21330,9.62,1.14,0.99,-0.07,0.25,-0.12,-0.04,-0.02,0.01,3.56,81.56,-38.75,-19.37,11.56,-22.69
21873,9.73,0.73,1.18,0.03,-0.15,0.07,0.05,-0.01,-0.02,3.56,81.62,-39,-18.69,11.19,-23.25
22415,9.56,1.06,1.08,-0.14,0.15,0.04,-0.04,-0.03,0.01,3.81,81.87,-41.31,-19.06,11.5,-22.69
22955,9.64,0.51,1.66,-0.02,-0.44,0.43,-0.23,-0.03,0,5.31,81.31,-41.44,-18.75,11.19,-22.87
23496,9.72,1.35,1.02,0.02,0.35,-0.08,0.05,0,0,5.69,81.19,-41.63,-19.06,11,-23.5
24042,9.61,0.92,1.07,-0.07,-0.08,-0.04,0,0.03,-0.03,4.94,81.06,-42.25,-20.19,9.38,-22.69
24583,9.58,1.91,1.65,-0.14,0.9,0.63,-0.05,-0.01,0.01,5.13,81,-42.69,-19.19,10.5,-23.19
25123,9.63,1.32,1.28,-0.05,0.26,0.22,-0.08,-0.04,0,5.13,81.19,-45.13,-19.06,11,-23.25
25666,9.62,0.97,1.34,-0.06,-0.09,0.28,-0.09,-0.01,0.01,5.94,81.12,-45.25,-19.19,10.88,-22.56
26205,9.78,0.72,1.04,0.09,-0.33,0.01,0.07,-0.01,0,6.88,81.31,-45.56,-18.69,10.25,-21.87
26752,9.62,1.08,1.21,-0.05,0.01,0.13,-0.01,0.01,-0.01,6.44,81.06,-44.63,-19.37,8.69,-22.06
27293,9.6,0.89,0.99,-0.03,-0.24,-0.19,-0.02,-0.03,0.05,6.81,80.87,-43.81,-18.69,10.06,-22.69
27832,9.58,1.15,1.53,-0.1,0.17,0.43,-0.03,0.01,-0.04,6.44,81.31,-41.81,-19,10.06,-22
28372,9.59,0.73,1.17,-0.09,-0.28,0.05,-0.02,-0.02,0.04,6.75,81.12,-42.31,-18.56,10.38,-22.37
28912,9.59,1.23,1.61,-0.05,0.24,0.45,-0.01,-0.01,-0.03,6.81,80.94,-41.5,-18.56,10.5,-22.06
29451,9.65,1.07,0.78,-0.04,0.03,-0.25,-0.14,-0.06,-0.03,8.88,81.31,-45.19,-17.06,9.19,-20.75
29998,9.62,0.71,0.88,-0.08,-0.28,-0.01,-0.01,0.05,0.04,8.19,82.06,-48,-20.06,8.25,-20.06
30537,9.58,1.59,2.16,-0.08,0.56,0.88,-0.04,0.02,-0.04,6.88,80.31,-39.19,-19.37,9.75,-20.06
31078,9.74,0.84,0.81,0.03,-0.25,-0.21,0.07,-0.05,0.03,9.44,81.19,-47.69,-18.37,9.38,-18.75
31616,9.68,0.88,0.63,-0.05,-0.01,0,0,0.04,-0.02,8.88,83.5,-5.25,-19.69,9.75,-18.06
32154,9.68,1.08,1.64,-0.02,0.08,0.77,0.09,0.06,-0.02,8.44,82.19,-49.25,-19,9.06,-19
32701,9.7,1.35,0.47,0,0.27,-0.44,0.02,-0.02,0,10.19,81.62,-49.31,-19.5,7.69,-18.5
33241,9.63,0.7,1.2,-0.07,-0.25,0.24,0.06,0.01,-0.01,8.5,82,-44.88,-19.5,10.19,-18.37
33779,9.58,1.11,0.7,-0.1,0.02,-0.32,-0.04,-0.06,0.02,10.56,81.19,-46.75,-19.06,10.5,-17.56
34317,9.67,0.63,1.07,-0.04,-0.32,0.23,0.04,-0.03,0,9.5,82.5,-48.63,-19.06,10.56,-18
34856,9.63,1.14,0.4,-0.08,0.13,-0.36,0.02,0.02,0,10.19,82.5,-53.06,-19.5,10.25,-18.56
35398,9.59,1.33,1.98,-0.08,0.31,0.81,0.09,0.03,-0.05,8.19,80.87,-41.13,-19.06,10.06,-18.19
35945,9.62,1.09,0.76,-0.04,-0.05,-0.39,0.06,-0.05,0.05,10.5,80.37,-44.81,-20.37,8.88,-18.19
36483,9.62,1.24,1.42,-0.05,0.13,0.3,0.04,0.06,-0.06,9.5,80.75,-44.88,-17.87,10.5,-18.69
37026,9.67,0.71,1.03,0.02,-0.46,-0.26,-0.14,-0.1,0.02,10.5,79.69,-42.25,-18.19,9.88,-17.5
37565,9.67,0.8,0.46,-0.02,-0.29,-0.46,0.03,0,0.03,11.19,81.5,-49.69,-19.69,9.88,-17.19
38106,9.65,1.33,1.6,-0.01,0.26,0.4,0.01,-0.01,-0.02,9.63,80.5,-41.63,-19.19,9.06,-17
38651,9.66,0.61,1.04,-0.02,-0.42,-0.04,-0.04,0,0.02,10.13,81.19,-43.31,-20,8.19,-16.69
39191,9.65,1.52,1.16,-0.02,0.41,0.06,0.08,0.01,0,10.31,80.81,-45,-19.25,9.5,-16.75
39729,9.67,0.62,0.7,-0.01,-0.33,-0.39,-0.1,-0.03,0.01,9.56,81.37,-40.75,-19.25,10.5,-17.69
40268,9.65,1.59,1.75,-0.02,0.55,0.64,-0.06,0,-0.03,9.75,81.06,-42.75,-19.87,9.25,-17.87
