Euler [X]	Euler [Y]	Euler [Z]
35.25	80.19	-35.94
35.94	80.69	-37.31
35.56	80.44	-36.56
36	80.5	-37.06
35.63	80.56	-33.81
39.06	81.06	-44.69
38.31	81.25	-45
38.38	80.56	-40.63
38	80.62	-40.56
38.44	80.31	-41.06
37.25	80.62	-38.13
38.63	80.37	-41.5
37.56	80.69	-37.63
38.63	80.19	-40.13
38.63	80.56	-40.25
38.19	80.31	-39.06
38.69	80.5	-38.06
39.25	80.75	-41.19
39.75	80.44	-41.75
38.88	81	-40.38
40	80.44	-41.75
38.69	80.81	-37
41.25	81.12	-43.06
41.06	81.87	-45.88
41.25	82.12	-46.31
41.44	82.69	-47.81
41.13	82.87	-47.69
41.31	82.87	-46.75
41.19	83.37	-4.75
40.44	80.19	-35.94
41	81.19	-39.31
40.38	80.94	-35.5
41.75	81.75	-39.69
41.25	82.62	-34.5
43.56	82.75	-37.5
42.88	83.06	-38.81
41.56	82.12	-32.69
42.5	82.44	-35.5
44	83.06	-32.69
42.5	83.25	-4.25
43.31	84.56	-4
43.13	84.37	-4.25
42.63	84.75	-4.19
45.94	84.19	-4.25
42.69	84.75	-3.63
45.31	84.5	-4.69
42.81	84.69	-4
42.19	84.44	-4.06
44.5	77.5	-37.63
42.5	83.31	-4.38
42.88	80.12	-37.75
43.25	82.06	-41.69
43.13	79.62	-35.06
43.69	81.62	-39.75
43.06	80	-33.25
44.25	81.37	-41.69
43.06	79.56	-31.31
43.88	81.12	-36.06
43.94	80.06	-35.31
44.19	81.31	-37.44
45.44	80.25	-40.25
45.25	81.62	-41.63
46.13	80.37	-42.31
45.75	81.31	-42.25
46.44	80.81	-42.06
46.06	81.56	-45.56
46.25	80.75	-41.69
47.06	81.44	-45.94
46.5	80.94	-42.81
47.31	81.19	-44.06
46.63	81.12	-42.94
46.44	80.81	-40.69
47.31	81.25	-45.38
46.25	80.31	-36.06
47.81	81.31	-43.38
48.69	80.87	-43.13
49.19	81.87	-49.56
47.5	79.94	-39.56
49.63	81	-44.44
50.81	81.06	-47
50.75	81.5	-47.94
49.75	80.94	-45.13
50.44	81.62	-45.94
49.69	81.06	-47.5
50.13	81.69	-43.94
49.06	81.06	-43.94
50.69	81.06	-42.75
50.19	81.37	-44.88
51.5	81.37	-46.5
49.81	81.69	-42.44
50.19	81.56	-43.94
50.06	81.5	-42.06
49.69	81.75	-41.75
49.75	81.19	-40.5
49.38	81.37	-39.56
49.44	80.94	-38
51	81	-42.94
50.31	81.69	-39.75
50.75	80.87	-42.69
51.69	81.25	-42.88
51.13	81.25	-43.13
52.69	81.19	-43.63
51.94	81.44	-43.25
52.56	81.12	-44.88
52.44	81.37	-43.38
52.25	81.37	-44.69
51.44	80.81	-37.56
53	81.19	-43.31
51.75	80.87	-40.63
51.88	80.94	-40.19
52.38	80.81	-42.25
52.19	81.12	-39.5
53.5	80.94	-46.19
51.94	80.87	-37.31
53.31	81.06	-43.56
52.56	80.94	-39.69
53.25	81.06	-42.75
52.94	81.12	-40.81
53.06	80.62	-39.44
53.31	80.94	-41.44
53.19	80.81	-39.75
53.25	80.62	-40.25
53.19	80.69	-38.69
53.81	80.94	-40.75
53.38	80.25	-37.44
54.06	80.81	-40.06
53.88	80.5	-39.19
54.81	80.94	-40.69
54.5	80.56	-39.88
54.94	81.12	-41.13
55.25	80.62	-41.94
55.44	81.19	-40.75
56.06	80.81	-44.25
54.81	81	-40
56.75	80.75	-41.31
55.88	81.87	-44.94
56.06	80.44	-41.44
55.81	81.44	-40.56
56.06	81.06	-42.25
56.81	81.37	-41.44
55.94	81.25	-40.38
56.81	81.25	-42.63
56.69	81.44	-40
56.75	81.12	-41.75
55.94	81.37	-37.75
56.38	81.31	-39.38
56.94	80.94	-40.19
57.56	81.69	-42.38
56.5	80.94	-37.69
56.56	81.19	-37.69
57.94	80.75	-41.31
58.63	81.5	-43.19
57.31	80.69	-39.19
59	81.25	-42
58.69	81.19	-40.75
60.5	81.31	-47
57.94	81.5	-35.38
61	81.19	-47.38
61.25	81.31	-50.06
58.06	80.5	-34.06
61.19	81.19	-44.94
61.44	81.06	-46.75
61.56	81.19	-45
63.06	81.56	-52.75
63.63	83.12	-49.69
62.63	82	-45.94
62.81	80.25	-37.5
64.37	82.56	-46
64.19	82.75	-48.5
63.94	81.37	-45.19
61.94	82.5	-44.06
62.94	80.5	-42.38
64.12	82.25	-47.13
63.31	81.56	-47.56
64.62	82.12	-47.19
65.19	82.44	-49.81
62.69	83	-47.44
62.44	80.19	-38.5
63.44	83.37	-5
62.81	79.69	-37.88
65.81	81.69	-46.06
66.5	82.62	-53.19
65.12	82.25	-45.56
64.62	80.37	-42.44
63.94	82.19	-45.25
65.56	80.31	-44
64.81	82.19	-46.44
64	79.75	-35.88
67.62	81.62	-44.69
66.19	83.44	-4.69
66.19	82.25	-44.75
64.81	79.31	-34
64.31	82.87	-47.63
64.81	78.75	-35.5
64.19	82.19	-42.5
64.87	79.87	-39.94
64.5	81.69	-41.75
64.94	80.12	-39.31
64.62	81.31	-40.06
64.81	80.31	-38.06
65.37	81.12	-40.69
64.87	80.69	-37.69
65.69	81	-41.31
65.44	80.87	-38
66.06	81.25	-41.63
65.87	81.19	-41.63
66.19	80.75	-39.81
67.06	81.69	-47.56
65.75	80.31	-34.25
66.94	81.44	-45.38
66.19	80.12	-35.56
66.31	81.25	-39.38
67.75	80.37	-43.06
66.75	81.19	-40.19
67	80.94	-41.19
67.31	81.19	-41.13
67.12	81.06	-40.63
67.25	81.06	-40.38
67.5	80.94	-40.13
68	80.94	-42.44
67.69	81.12	-40.31
67.69	80.81	-40.31
67.94	81	-40.25
67.37	80.56	-37.38
67.87	80.94	-38.25
67.56	80.37	-35.25
68.25	80.94	-39.19
67.81	80.62	-36
68.37	80.94	-37.81
68.37	80.81	-38.13
68.87	81.12	-39.63
68.37	81.37	-38.56
69.12	80.69	-38.75
68.81	80.94	-38.25
69.25	80.69	-38.31
69.44	80.81	-40.13
69.19	80.37	-36.56
69.37	80.44	-37.94
69.5	80.44	-36.13
69.81	80.81	-39.25
70.06	80.44	-37.81
69.87	80.75	-38.06
69.94	80.5	-37.19
69.94	80.75	-37.75
70.06	80.62	-37.81
70.19	80.69	-37.81
70.37	80.69	-37.75
70.25	80.5	-37.19
70.69	80.69	-37.19
70.75	80.62	-37.75
70.87	80.87	-37.81
71.06	80.44	-37.44
71.25	80.69	-38.13
70.87	80.44	-35.94
71.44	80.62	-38
70.94	80.31	-34.19
72.31	81	-40.81
71.5	80.56	-34.31
72.19	80.87	-40.13
71.81	80.25	-34.19
71.62	80.62	-34.81
72.25	80.12	-35.94
71.81	80.56	-34.63
72.12	80.12	-35.13
72.19	80.37	-35.56
72.06	80.37	-34
72.44	80.25	-35.13
72.81	80.5	-35.69
72.81	80.37	-35.25
73.06	80.44	-36.06
73.12	80.5	-35.13
74.25	80.56	-40
74.06	80.69	-39
74.19	80.56	-38.88
74.06	80.62	-38.44
74.25	80.75	-38.63
74.19	80.5	-37.81
74.44	80.87	-37.19
74.56	80.56	-37.56
75	81	-39.31
74.87	80.56	-36.31
75.37	81.31	-40.63
75.94	80.56	-39.94
75.37	81.31	-38.5
76.12	80.75	-41.38
75.44	81	-37.69
76.25	80.5	-40.44
76	81.06	-38.44
76.19	80.56	-39.5
76.56	80.69	-40.44
75.75	80.44	-35.81
76.44	80.44	-38.63
76.19	80.56	-36.13
76.69	80.62	-38.81
76.75	80.62	-38.63
76.69	80.5	-37.81
76.94	80.62	-38.31
76.75	80.44	-37.25
76.87	80.75	-37.69
77	80.19	-36.94
77	80.56	-37
77.37	80.19	-37.06
77.37	80.75	-37.44
77.56	80.25	-36.94
77.44	80.69	-37.25
77.87	80.19	-37.06
77.94	80.69	-37.31
77.94	80.31	-36.19
78.44	80.69	-38.06
77.94	80.37	-34.94
78.62	80.69	-38
78.37	80.56	-36.31
78.44	80.37	-35.63
78.56	80.37	-35.5
78.87	80.37	-36.19
79.37	80.81	-37.25
79.87	81	-40.88
80.19	80.62	-39.06
79.81	81.12	-38.44
81.56	80.81	-43.31
79.56	80.87	-35.5
80.31	80.94	-39
80.19	80.75	-37.06
81.19	81	-41.13
80.69	80.56	-37.31
80.62	81.12	-39.63
80.37	80.19	-33.19
81.06	80.87	-37.75
81.25	80.62	-37.88
81.12	80.81	-37.5
82.19	80.87	-40.75
81.69	80.87	-39.19
82	81	-39.81
81.94	80.69	-38.56
81.81	81.06	-38.31
82.37	80.69	-39.63
82	80.75	-37.5
82.44	80.87	-39.25
82.62	80.87	-39
82.81	80.87	-39.06
82.87	81.12	-39.81
83.06	80.87	-38.94
83	81.19	-38.94
83.25	80.75	-39.69
83.06	81	-38.38
83.56	80.56	-39.19
83.56	81	-39.19
83.94	80.94	-39.31
83.81	81.12	-38.56
84.44	80.56	-40.63
84.62	81.25	-39.63
84.69	80.56	-40.19
85.62	81.19	-42.06
84.5	80.69	-38.5
84.75	81	-39.38
85.19	80.19	-39.19
85.94	81.44	-42.19
85	79.69	-37.81
85.81	82.06	-41.13
85.81	79.69	-39
85.69	81.94	-42.25
86	79.75	-37.56
86	82	-40.5
85.69	79.5	-35.19
86.69	82.37	-41.75
86.12	80.06	-37.5
86.87	81.62	-39.06
86.62	80.25	-39.25
87.5	81.25	-39.19
86.37	80.87	-39.13
88.44	81.37	-40.38
86.56	81.44	-41.88
86.87	80.81	-35.63
87	81.12	-38.13
88.12	81.19	-39.88
87.19	81.19	-38.31
87.31	80.87	-36.94
86.81	81.12	-34.44
87.94	80.81	-39.31
87.31	81.12	-35.63
87.44	80.87	-36.31
88.69	80.87	-40
88.25	81.12	-37.75
88.75	81.19	-40.88
88.87	81.19	-38.31
88.62	81.12	-39.25
88.62	81.06	-38.19
88.5	80.94	-37.44
88.69	81	-37.44
88.94	81.12	-37.44
89.81	80.87	-40.38
89.56	80.87	-38.94
89.81	80.81	-39.31
89.81	81	-39.06
89.81	80.81	-38.88
89.75	80.81	-38.13
90.12	80.94	-39
89.87	80.94	-38.25
90.37	81.12	-39.06
90.19	81.06	-38.06
90.37	81	-38.31
90.37	81.19	-38.13
90.37	80.69	-36.88
90.81	81.25	-38.56
90.75	80.94	-37.31
90.94	81.19	-38.19
91	80.81	-37.63
91.31	81.25	-38.63
91.12	80.87	-37.13
91.44	81	-37.38
91.37	80.87	-36.56
91.56	80.87	-37.25
91.56	80.75	-36.06
91.62	80.75	-36.06
91.75	80.87	-36.38
91.81	80.94	-36.5
