Euler [X]	Euler [Y]	Euler [Z]
96.75	11.75	-108.06
284.5	1.69	-167.19
289	5.06	160.31
131.38	11.25	65.56
90.75	4.56	-100
100.31	15.31	46.38
108.81	5.75	126.44
130.25	13.63	86.37
102.25	13.69	106.75
141.88	22.37	-132.81
142.19	36.06	-3.81
94.87	-15.13	-18
133.38	31.12	52.25
30.75	21.31	-137.19
254.31	68.37	151.38
80	-5.25	51
359.31	67.12	-138.75
100.12	-7.63	-44.44
194.06	54.75	-2.81
105.19	56.38	26.75
95.31	17	-112.87
309.75	11.25	136.63
143.56	16.31	55.94
142.13	3.25	39.06
138	2.88	36.38
130.69	2.56	36.19
124.12	2.13	36.13
119.44	1.63	36.13
115.12	1.37	36.13
112.44	1.31	36.13
110	1.31	36.13
108.87	1.31	36.13
107.37	1.31	36.13
106.37	1.31	36.13
105.31	1.31	36.13
104.69	1.31	36.13
104.37	1.31	36.13
104.25	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
104.06	1.31	36.13
288.13	-8.56	-38.81
251.56	32.63	-5.06
37.38	7.31	-137.19
297.25	-8.63	161.88
148.31	3.69	-25.25
354	8.56	-175.56
166	13.19	-32
170.25	5.5	47.5
174.75	5	128.94
167.13	9.31	118
164	15.13	18.69
194.63	3.56	78.44
101.19	6.69	1.69
34.88	-2.13	21.5
164.75	-32.69	64.31
323.81	-28.31	119.87
317.88	-38.69	65.25
122.87	-43.06	-178
274.75	-37.31	-42.44
8.06	20.44	155.94
43.81	11.69	-58.5
255.06	32.56	-171.31
167.13	41.56	52.25
163.81	31.31	-98.44
26.44	48.06	-86.31
175.06	43	32.56
220.31	32.88	103.12
139.38	30	-96.44
347.19	32.69	-170.25
345.44	35.75	-154.94
171.75	33.56	-10.69
179.75	36.31	31.19
206.44	30.56	106.75
180.69	35.5	33.63
295	54.13	-167.56
7.06	56.44	-157.25
135.88	45.44	-55.75
164.88	39.25	-10.56
195.06	40.38	48.19
119.31	48	-69.19
11.75	36.88	-164.69
67.75	50.19	-139.63
148.5	44.44	-23.25
170.81	19.44	-12.88
3.75	37.63	176.19
235.06	-0.81	154.06
172.13	37.56	-17.31
143.94	40	16.44
226.75	-30.94	51
145.31	44.44	-69.81
150.56	48.88	-59.75
147.5	38.25	-52.75
15.44	33.25	152.31
212.31	20.87	57.31
175.13	33.69	-50.88
195.81	36.44	12.5
176	29.31	-50.81
177.63	39	-125.75
55.56	2.5	164.81
291.94	56.88	-88.87
20.19	55.88	52
326	57.44	60.25
327.25	61.06	67.56
326.5	61.06	68.81
309.19	35.63	56.25
57.5	29.56	159.81
275.56	24.75	88.5
261.88	20.19	92.62
280	19.25	133.19
76.19	42.5	-175.19
229.69	16.94	-90.25
231	34.69	-72.62
252.5	28.19	-34
238	42.13	-101.81
259.19	35.94	-64
5.94	44.44	110.87
315.63	8.44	115.87
314.63	7.75	116.56
314.25	7.5	116.87
316	8.38	117.81
330.75	14.94	124.62
331.13	15.06	124.69
320	9.25	124.31
319.75	9.13	124.19
319.81	9.19	124.12
327.81	13.31	124.37
327.81	13.31	124.44
328.13	13.44	124.56
329.38	14.06	124.69
329.94	14.5	124.5
330.81	15.06	124.25
330.88	15.06	124.25
333.25	16.19	124.56
131.81	-6.5	169.63
323.94	5.25	17.87
327.81	6.31	-101.94
349.69	4.25	-103.19
350.38	3.94	-100
353.69	3.19	-93.94
357.25	2.44	-90.31
203.31	1	172.56
72.44	11.44	122.19
50.56	-11.44	82.62
105.81	8.06	-179.94
330.63	-2.88	-97.37
148	-3.31	-169.94
139.63	1.88	-145.31
141	4.06	140.5
311.81	-3.25	114.06
320.38	-1.12	58.38
312.13	-1.69	49.94
307.75	0.75	1.5
319.06	-5	72.75
317.69	-2.88	65.12
319	-0.88	67.94
319.06	-0.75	68.19
319.13	-0.69	68.25
319.13	-0.69	68.25
319.13	-0.69	68.25
319.13	-0.69	68.25
319.13	-0.69	68.25
319.13	-0.69	68.25
319.06	-0.56	67.12
319.06	-0.56	67.12
319.06	-0.56	67.12
319.06	-0.56	66.87
319.06	-0.56	66.87
319	-0.56	66.87
319.06	-0.56	66.87
319.06	-0.56	66.87
319.06	-0.56	66.87
319.06	-0.56	66.87
319.06	-0.56	66.87
319.06	-0.56	66.87
319	-0.56	66.87
310.06	-5.56	84.12
60.69	-5.94	-168.94
332.81	-5.81	3.38
335.25	-4.19	120.19
278.88	-20.06	-20.06
37.69	-1.63	-178.19
222.5	-37.25	142.63
226.06	3.06	-115.81
233.88	-30.44	104.06
256.38	-29.19	65.5
291.63	-23.75	-78.19
303.81	-55.88	-38.06
243.56	-17.37	14.38
-132.38	26.25	-38.25
258.06	-70.94	51.94
19.62	-4.5	-167.06
223.25	-48.44	164.31
34.75	-41	-173
206.38	-7.63	60.94
293.31	-50.88	-33.44
8	-53.69	-165.13
200.75	-17.94	85.75
163	-41.69	100.69
247.13	-52.06	-58.38
239.31	-45.31	-60.44
217.69	-59.56	15.13
248.19	-53.31	-62.5
119.87	-44.56	135.44
341.56	-48.31	-150.88
227.5	-36.13	-52.81
237.5	-67.62	-1.88
217.75	-47.75	0.31
214.81	-54.63	-15.69
345.5	-57.63	-142.94
273.44	-28.06	-141.63
190.25	-47.63	30.06
215.94	-39.88	-32.25
205.25	-37.06	6.75
22.94	-22	-162
315.56	-58.19	-118.19
214	-30.69	-7.75
243.63	-76.81	83
25.81	-19.75	-154.13
202.19	-66.12	74.19
219.44	-35.56	-20.62
286.94	-69	9
65.25	-78.69	-176.19
293.19	-71.94	-79.75
262.5	-79.37	-3.81
250.81	-71.94	-24.25
256.38	-49.81	-41.06
308.88	-48.25	-112.12
251.31	-55.56	-22.12
88.37	-36.69	175.94
247.44	-63.06	-24.81
104.75	-55.06	171.63
348.31	-68.25	-40.63
54.5	-22.31	-162.13
350.31	-54.75	42.25
271.25	-49.31	158.88
314.13	-38.94	-142.56
93.44	-25.37	-113.06
120.87	-58	-106.81
238.13	-64.56	9.06
286.81	-24.87	46.38
301.31	0.56	64.81
302	1.69	65.87
302.13	1.88	66.12
302.19	1.94	66.19
302.19	1.94	66.19
302.19	1.94	66.19
302.19	1.94	66.12
302.19	1.94	66.12
302.19	1.94	66
302.19	1.94	66.06
302.19	1.94	66.06
324.94	-0.37	40.63
268	5.69	-100.62
271.5	2.56	111.94
49.69	0.31	133.44
100.37	-5.56	-48.5
97.69	1.37	-24.25
97.37	2.63	-22.56
97.37	2.75	-22.56
97.37	2.75	-22.69
97.37	2.75	-22.62
97.37	2.75	-22.56
97.37	2.75	-22.56
97.37	2.75	-22.5
97.37	2.75	-22.44
97.37	2.75	-22.37
97.37	2.75	-22.37
97.37	2.75	-22.37
97.37	2.75	-22.31
97.37	2.75	-22.31
97.37	2.75	-22.37
97.37	2.75	-22.37
97.37	2.75	-22.37
97.37	2.75	-22.37
97.37	2.75	-22.37
97.31	2.81	-24.06
97.31	2.81	-24.37
97.06	3.19	-35.75
97.06	3.19	-35.63
97.06	3.19	-35.75
97.06	3.19	-35.5
97.06	3.19	-35.5
97.06	3.19	-35.56
97.06	3.19	-35.63
97.06	3.19	-35.69
97.06	3.19	-35.69
97.06	3.19	-35.69
97.06	3.19	-35.69
97.06	3.19	-35.69
97.06	3.19	-35.69
97.06	3.19	-35.69
97.06	3.19	-35.88
97.06	3.19	-35.88
97.06	3.19	-35.88
97.06	3.19	-35.81
97.06	3.19	-35.81
97.06	3.19	-35.81
97.06	3.19	-35.75
97.06	3.19	-35.75
97.06	3.19	-35.88
97.06	3.19	-35.94
97.12	3.13	-31.06
97.12	3.06	-31.19
97.25	2.81	-24.69
97.25	2.81	-24.5
97.25	2.81	-24.5
97.25	2.81	-24.5
97.25	2.81	-24.5
97.25	2.81	-24.44
97.25	2.81	-24.44
97.25	2.81	-24.44
97.25	2.81	-24.44
97.25	2.81	-24.44
97.25	2.81	-24.5
97.25	2.81	-24.5
97.25	2.81	-24.5
97.25	2.81	-24.5
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.56
97.25	2.81	-24.62
97.25	2.81	-24.5
97.25	2.81	-24.44
97.25	2.81	-24.37
97.25	2.81	-24.37
97.25	2.81	-24.31
97.25	2.81	-24.25
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.25
97.25	2.81	-24.25
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.19
97.25	2.81	-24.12
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.06
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
97.25	2.81	-24.12
98.06	0.12	-14.81
88.5	-23.19	19.56
88.25	-21.62	28.62
93.56	-3.69	22.56
94.25	2.31	8
94.31	2.38	8.63
87.94	2.44	4.44
86.31	2.06	8.25
78.87	-16.56	72.87
67.44	-49.94	48.88
69.12	-55.25	39.63
72.25	-51.81	40.19
74.75	-50.06	42.19
75.12	-49.75	41.06
76.25	-48.75	42.06
83.75	-48.31	39.38
76.69	-47.88	63.31
58.5	-48.25	98.62
30	-49	132.44
15.63	-49.44	141.81
67.56	-45.56	86.81
64.56	-45.56	90.69
64.44	-45.56	91.75
55.38	-50.13	99.69
57.31	-49.94	98.56
59.5	-49.69	95.69
45.25	-47.44	116.56
36.94	-46.13	125.75
69.44	-45.13	79.69
106.31	-7.69	59.94
98.44	14.56	71.44
96.19	23.87	89.19
78.44	23.94	99.62
77.31	21.44	97.75
76.25	19.25	96.81
75.69	18.69	95.06
76.19	18.56	94.06
76.56	19	93.25
97.62	30.81	101.31
81.5	50.88	43.31
100.75	56.63	48.44
157.5	69.81	72.12
209.69	72.69	82.75
230.5	71.25	70.75
247.88	69.25	63.38
254.13	69.81	60.06
256.88	64.44	55.5
228.75	12.19	61.56
223.13	4.5	83.5
228	11	97.06
233	12.06	98.12
235.63	12.69	99.25
240.25	13.19	98.87
242.56	13.63	99
247.5	13.19	101.87
259.63	15.56	101.5
290.06	22.19	103.62
287.44	20.87	105.19
270.5	19.62	102.62
265.88	19.56	100.56
270.5	19.12	100.44
262.31	21.06	93.19
275.13	54.94	61.88
269.63	63.31	70.12
277.19	68.75	75.94
282.94	71	77.44
283.81	71.06	69.75
283.13	71.44	73.44
283.81	71.87	72.69
284.06	71.94	71.44
283.06	71.5	72.75
279.94	71.44	71.87
276.69	71.06	72.12
278.13	71.44	71.5
286.25	69.62	70.37
286	72.81	59.06
289.13	75.81	56.06
287.19	77.75	65.87
285.63	69.5	71.37
276.25	65.87	73.06
274.75	66.44	74.62
275.44	59.88	75.37
245.81	23.37	91.87
227.31	7.19	77.81
220.31	18.62	71.44
220.56	18.19	77.25
195.38	11	81.87
197.44	15	75.44
208.56	19.37	69.06
206.31	16.75	65.62
203.25	13.81	69
203.75	14.13	68.31
204.56	14.94	68
210.5	21	68.06
210.81	21.75	65.87
214.13	23.06	64
242.13	28.62	50.81
294.38	37.25	31.37
310.19	33.69	27.37
310.88	33.56	28.25
308.56	33.25	27.94
308.25	32.75	28.44
307.06	32.13	28.87
298.94	24.06	76.31
286.25	18.56	126.5
53.94	16.25	144.31
254.5	5.13	41.38
251.31	-0.31	-15.13
234.75	-0.5	-45
233.88	2.94	-47.19
247.06	3.88	-47.25
259.13	9.13	-38.81
250.81	15.94	-42.56
248.56	16.62	-42.88
247.63	17.19	-42.06
247.19	16.75	-41.63
247.13	16.75	-42.56
248.38	16.62	-42.38
248.88	16.12	-41.38
248.69	15.5	-41
246.38	14.13	-35.13
246.13	13.31	-12.38
234	20.5	-13.56
202.94	13.69	-18.19
173.19	17.37	-27.75
133.13	20.87	-43.5
139.75	-1	-42.38
137.56	4.44	-43.56
132.06	21	-39.31
123.75	20.44	-37.63
128.63	22.25	-36.63
127.44	19.81	-23.5
162.69	28.37	-17.69
196.19	39.81	-18.75
217.63	30.44	-23.37
245.06	33.69	-28.19
234.81	31.87	-26.81
214.44	31.31	-24.25
212.13	31.75	1.12
197.31	40.13	-15.31
178.31	55.81	-35.94
54.5	77.37	-16.69
1.81	83.31	-3.44
2.69	79.56	25.12
25.62	81.19	19.75
37.63	83.69	1.19
55.81	81.44	-3.19
72.31	82.62	-27.75
85.81	81.56	-27.5
76.81	82.69	-45
68.75	81.56	5.44
79.37	83	-1.31
81	84.69	2.5
79.19	84.81	1.37
60	79.56	-12.5
56.06	75.69	13.5
29.87	79.06	13.44
12.31	78.94	15
25.19	81.06	11.19
60.06	86.81	-178
65.44	58.06	-134.56
72.06	40.69	-113.37
80.75	38.44	-100.12
86.31	37	-93.31
78	45	-89.62
64.25	60.75	-118.37
61.63	57.94	-133.19
66.31	54.5	-135.19
57.63	52.81	-135.25
41.63	53.06	-150.56
32.44	56.81	-149.56
29.19	58.88	-149.38
28.5	59.75	-149.81
29.31	58.31	-146.31
30	59.81	-146.56
33.06	57.19	-150
23.81	53.13	-151.06
12.63	50.94	-155.63
13.56	49.06	-154.06
15	48.5	-154.31
16.44	49.5	-152.69
11.94	52.13	-150.31
10.25	51.69	-147.31
345.31	54.31	-158.63
0.56	51.75	-154.69
28.69	51.63	-134.25
36.56	46.38	-138
38.25	45.56	-135.88
35.13	40.75	-137.44
32.5	43.25	-142.19
26.69	47.75	-147.25
26.87	48.81	-144.94
17.12	49.31	-155.19
22.44	50.81	-171.44
12.44	32.63	173.75
1.31	30.12	-166.5
359	31.25	-169.31
332.69	22.31	163
142.88	9.88	-77
152.25	12.94	11.88
157.63	21.06	35.63
158	28.87	68
132.31	20.5	86.19
130.06	20.56	87
129.75	20.62	87.12
124.5	20.62	87.56
114.94	20.81	87.94
123.19	28.75	60.19
123.69	30.12	42.69
111.75	17.69	43.56
103	18.06	40.44
116.44	22.44	41
127.69	12.75	25.5
126.06	11.19	21.19
137.69	20.5	17
137.5	19.75	16.19
137.88	19.75	15.19
136.13	19.19	24.19
126.75	17.5	66.06
130.38	16.19	65.12
131.81	22	52.56
127.44	19.69	55.63
123	18.12	44.06
122	18.19	40.38
123.25	18.06	40
123.62	17.69	38.06
124.69	18.69	42.5
131.94	16.37	75.37
137.38	14.56	116.62
137.69	14	117.94
134.19	14.44	117.44
131.13	15.56	117.25
106.31	15.38	118.62
76.56	13.06	122.94
63.75	15.5	122.5
71.81	27.19	95.87
83.94	19.87	44.94
82	18.62	45.81
98.19	42.31	57.56
74.56	41.13	96.69
48.06	21.19	105.5
44.94	24.37	119.69
39.25	22.56	127
14.25	20	120.19
5.69	13.94	121.62
359.63	16.62	120.75
322.69	9.88	117.5
320.06	16.5	121.25
306.63	13.44	117.31
3.81	30.31	119.75
345.13	24.31	111.5
344.81	25.44	119.12
356.38	27.69	110.19
354.69	29.31	102.81
348.19	26.56	103
346.81	30.37	98.37
349.44	27.62	101.56
355.69	25.94	96.56
2.13	29.75	94.69
15.63	31.19	98.5
11.81	31.81	98.19
17.44	30.19	98.81
2.38	33	101.56
24.44	36	101.31
11.69	33.13	92.31
32.13	37.31	91.12
19.19	32.31	83.81
31.37	34.81	81.56
45.31	38.69	80.31
57.69	40.88	81.25
35.75	32.44	82.25
23.94	30.19	91.12
27.94	34.69	84.5
27.62	40	103.81
21.94	32.13	90.69
7.88	22.75	91.56
5.44	21.31	87.56
338.31	13.38	84.62
9.13	23.44	90.19
3.06	24.44	89
12.19	22.56	88
356.56	20.06	88.06
0	16.69	83.31
328	15.63	82.69
342.88	22.5	88.25
331.81	20.94	93.19
38.75	34.75	101.19
30.62	43.5	86.87
48.19	52.25	84.19
20.87	52.81	87.5
33.38	50.94	92.06
29	53.06	87.62
46.88	52.94	91.62
32	52.81	86
43	50.94	85.12
29.12	54.38	87.94
50.94	57.81	86.31
48.25	58.19	87
55.56	54.75	88.12
48.25	52.63	79.81
44.63	53.81	83.12
49.19	53.5	83.19
33.25	54.75	85.37
41.06	53.31	83.62
40.19	56.25	79.31
42.56	54.44	83.81
40.13	55.19	87.75
47.25	55.94	83.69
47.5	55.88	88.87
46.81	55.31	83.12
42.31	57.94	89.75
38.94	53.56	88.12
28.87	54.44	93.87
32.31	54.13	91.56
37.69	53.75	93.81
41.25	55.25	91.31
28.62	57.44	91.69
36.19	55.75	95.12
12.31	55.75	93.75
26.75	58.63	93.62
16.87	56.63	94.5
8.81	57.19	88.75
6	54.19	90.56
6.88	53.56	84.37
15.88	56.94	92.87
13.5	56.56	95.12
24.25	59.56	92.75
21.75	59.06	93.94
44.13	65.87	99.69
36	65.62	100.06
29.94	60.56	98.12
15.63	61.88	101.31
5.75	55.69	98.19
5.5	54.88	98.56
15.25	57.75	99.62
7.75	55.94	97.5
17.12	55.44	95.75
10.81	58.63	91.06
18.87	58.38	88.62
6.63	56	90.62
18.56	57.44	89.06
3.31	55.06	90.75
18.44	55.75	88.37
13.56	60.56	93.87
19.62	53.56	87.37
7.13	57.5	92.37
20.62	57.44	89
14.06	57.44	83.44
23.69	57.44	82.75
9.19	56.38	85.69
21.31	56.81	81.5
18.44	59.31	85.94
23.25	57.13	77.62
9.75	60.44	84.69
17.31	58.56	85.94
13.19	59.81	85.75
14.75	60.13	84.62
14.19	59.56	82.87
23	61	86.12
20.69	62.63	90.25
33.44	63.38	107.81
32.06	65.25	90.06
22.87	66.25	83.37
29.5	63.63	79.75
14.31	61.63	68.31
35.25	61	69.94
14.69	60	73.81
29.5	59.19	73.5
16.44	60.69	71.81
29.25	59.19	73.06
15.25	59.25	81.56
19.75	58.63	80.69
12.19	59.19	78.62
28.94	58	79.44
14.13	60.31	70.31
29.12	58.19	74.12
16.56	59.75	74.56
27.5	58.94	75.75
6.13	58	82.94
30.5	63.81	76
14.5	54.81	77
17.25	56.69	87.69
35.25	62.06	91.5
16.31	59.19	86.5
16.31	60.19	90.69
13.88	65.94	93.31
21.06	62.5	94.69
19.44	64.62	78.25
31.44	65.25	84.94
28	63.69	80.81
27	65.31	82.56
24.06	64.87	77.31
29.12	65.62	86.75
